n,ms_search_AVL,ms_search_RBT,ms_search_ST,ms^2_search_AVL,ms^2_search_RBT,ms^2_search_ST
1,0.899046,0.972963,0.455323,0.00429234,0.0802229,0.06146
501,3.55958,3.50954,5.54832,0.0266372,0.0418416,0.064282
1001,3.79978,3.63954,6.22699,0.17764,0.0888804,0.166055
1501,3.73547,3.66861,6.62279,0.0105335,0.00700867,0.0155018
2001,3.77995,3.68829,6.92466,0.00521169,0.00560592,0.00925629
2501,3.86379,3.79424,7.33851,0.0504278,0.0608031,0.12319
3001,3.88398,3.736,7.48365,0.0322983,0.00694046,0.0562922
3501,4.05655,3.90738,8.01403,0.211016,0.113328,0.533575
4001,3.98552,3.85964,7.88388,0.0329443,0.0489463,0.0520682
4501,4.18703,3.97457,8.4391,0.18711,0.0913876,0.44474
